T 	 K 	 ig 	 ta 	 sa 	 icg 	
100 	 100 	 390 3 	 390 4 	 611 39 	 646 4 	 
200 	 100 	 770 3 	 770 4 	 1229 90 	 1176 3 	 
300 	 100 	 1453 8 	 1430 6 	 2321 179 	 1947 6 	 
400 	 100 	 1720 6 	 1720 6 	 2742 212 	 2360 6 	 
500 	 100 	 2069 5 	 2020 7 	 3182 261 	 2873 6 	 
600 	 100 	 2175 6 	 2200 6 	 3534 289 	 3300 4 	 
700 	 100 	 2376 7 	 2375 7 	 3830 309 	 3240 6 	 
800 	 100 	 2522 6 	 2689 7 	 4030 364 	 3507 7 	 
900 	 100 	 2670 6 	 2640 5 	 4259 328 	 4050 9 	 
1000 	 100 	 2848 6 	 2784 7 	 4533 373 	 3968 5 	 
