p 	T 	 K 	 ig 	 ta 	 sa 	 icg 	 he 	lr 	 
0.1 	 3 	 100 	 136 1 	 136 0 	 138 0 	 136 0 	 262 1 	 136 0 	 
0.2 	 3 	 100 	 467 0 	 467 0 	 491 4 	 467 1 	 944 2 	 467 0 	 
0.3 	 3 	 100 	 975 1 	 974 0 	 1046 13 	 975 1 	 2054 5 	 973 2 	 
0.4 	 3 	 100 	 1745 1 	 1744 1 	 1813 27 	 1744 1 	 3590 14 	 1744 3 	 
0.5 	 3 	 100 	 2702 1 	 2702 2 	 2926 54 	 2704 1 	 5772 28 	 2702 8 	 
0.6 	 3 	 100 	 3648 3 	 3647 2 	 3988 90 	 3652 3 	 7876 44 	 3643 13 	 
0.7 	 3 	 100 	 4655 5 	 4655 5 	 5042 132 	 4658 5 	 9840 65 	 4638 18 	 
0.8 	 3 	 100 	 6118 6 	 6116 7 	 6774 200 	 6116 7 	 13386 99 	 6099 27 	 
0.9 	 3 	 100 	 7362 10 	 7363 10 	 8252 271 	 7363 10 	 16474 135 	 7322 38 	 
1 	 3 	 100 	 8933 13 	 8938 13 	 10016 376 	 8937 14 	 19844 176 	 8884 48 	 
