p 	T 	 K 	 ig 	 ta 	 sa 	 icg 	 he 	
0.1 	 3 	 100 	 138 0 	 138 0 	 139 0 	 138 1 	 274 0 	 
0.2 	 3 	 100 	 471 0 	 471 0 	 483 4 	 471 1 	 946 1 	 
0.3 	 3 	 100 	 1008 0 	 1008 1 	 1069 13 	 1008 0 	 2096 6 	 
0.4 	 3 	 100 	 1643 1 	 1642 0 	 1752 27 	 1642 1 	 3416 13 	 
0.5 	 3 	 100 	 2527 2 	 2526 1 	 2840 55 	 2525 2 	 5580 27 	 
0.6 	 3 	 100 	 3541 3 	 3537 2 	 3952 91 	 3535 3 	 7772 43 	 
0.7 	 3 	 100 	 4717 4 	 4715 5 	 5338 141 	 4714 4 	 10566 69 	 
0.8 	 3 	 100 	 5527 7 	 5511 7 	 6067 184 	 5514 7 	 11988 88 	 
0.9 	 3 	 100 	 7111 11 	 7121 10 	 8235 274 	 7125 10 	 16172 132 	 
1 	 3 	 100 	 8857 13 	 8888 14 	 10181 377 	 8874 13 	 19922 180 	 
