p 	T 	 K 	 ig 	 ta 	 sa 	 he 	
0.1 	 3 	 100 	 1495 0 	 114 0 	 135 0 	 1120 0 	 
0.2 	 3 	 100 	 8149 1 	 469 0 	 615 1 	 4690 2 	 
0.3 	 3 	 100 	 20287 0 	 992 0 	 1210 3 	 10210 6 	 
0.4 	 3 	 100 	 32172 1 	 1694 0 	 2385 8 	 17530 14 	 
0.5 	 3 	 100 	 51793 2 	 2513 0 	 3370 13 	 27000 26 	 
0.6 	 3 	 100 	 77365 2 	 3646 1 	 4855 22 	 39560 45 	 
0.7 	 3 	 100 	 104575 3 	 4979 1 	 6215 33 	 52490 70 	 
0.8 	 3 	 100 	 127489 3 	 5895 1 	 8320 53 	 66500 101 	 
0.9 	 3 	 100 	 147929 4 	 6644 1 	 9720 67 	 79800 136 	 
1 	 3 	 100 	 191454 5 	 8673 1 	 13000 110 	 92070 171 	 
