p 	T 	 K 	 ig 	 ta 	 sa 	 he 	lr 	 
0.1 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 95 1 	 90 0 	 
0.2 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 427 2 	 407 0 	 
0.3 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 1035 6 	 898 1 	 
0.4 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 1695 13 	 1538 2 	 
0.5 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 2566 25 	 2247 5 	 
0.6 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 3579 41 	 3199 9 	 
0.7 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 4621 63 	 4034 16 	 
0.8 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 6168 95 	 5288 22 	 
0.9 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 7252 123 	 6169 29 	 
1 	 3 	 100 	 -1 0 	 -1 0 	 -1 0 	 9318 170 	 7676 40 	 
