T 	 K 	 ig 	 ta 	 sa 	 he 	
70 	 100 	 2 4 	 2 6 	 25 35 	 89 2 	 
73 	 100 	 3 26 	 3 22 	 25 10 	 132 7 	 
76 	 100 	 4 86 	 4 95 	 45 81 	 80 9 	 
79 	 100 	 4 108 	 5 348 	 50 45 	 198 16 	 
82 	 100 	 6 359 	 5 328 	 45 124 	 351 35 	 
85 	 100 	 6 490 	 6 278 	 70 512 	 518 49 	 
88 	 100 	 7 334 	 7 752 	 115 81 	 400 56 	 
91 	 100 	 9 771 	 10 1974 	 155 395 	 410 61 	 
94 	 100 	 11 980 	 11 1747 	 90 131 	 483 63 	 
97 	 100 	 15 1464 	 13 4475 	 135 439 	 596 82 	 
100 	 100 	 14 1702 	 15 4695 	 125 248 	 679 98 	 
