T 	 K 	 ig 	 ta 	 sa 	 he 	lr 	 
70 	 100 	 -1 0 	 -1 0 	 -1 0 	 4 3 	 -1 0 	 
73 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 5 	 -1 0 	 
76 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 7 	 -1 0 	 
79 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 7 	 -1 0 	 
82 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 7 	 -1 0 	 
85 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 7 	 -1 0 	 
88 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 8 	 -1 0 	 
91 	 100 	 -1 0 	 -1 0 	 -1 0 	 5 9 	 -1 0 	 
94 	 100 	 -1 0 	 -1 0 	 -1 0 	 47 71 	 -1 0 	 
97 	 100 	 -1 0 	 -1 0 	 -1 0 	 23 39 	 -1 0 	 
100 	 100 	 -1 0 	 -1 0 	 -1 0 	 38 65 	 -1 0 	 
